路不拾遗 ['l', 'b', 'sh', 'y'] ['u', 'u', 'i', 'i'] ['4', '4', '2', '2'] 
狼心狗肺 ['l', 'x', 'g', 'f'] ['ang', 'in', 'ou', 'ei'] ['2', '1', '3', '4'] 
颠倒是非 ['d', 'd', 'sh', 'f'] ['ian', 'ao', 'i', 'ei'] ['1', '3', '4', '1'] 
鱼目混珠 ['y', 'm', 'h', 'zh'] ['v', 'u', 'un', 'u'] ['2', '4', '4', '1']
八仙过海 ['b', 'x', 'g', 'h'] ['a', 'ian', 'uo', 'ai'] ['1', '1', '4', '3'] 
纷纷扰扰 ['f', 'f', 'r', 'r'] ['en', 'en', 'ao', 'ao'] ['1', '1', '3', '3'] 
层出不穷 ['c', 'ch', 'b', 'q'] ['eng', 'u', 'u', 'iong'] ['2', '1', '4', '2'] 
出其不意 ['ch', 'q', 'b', 'y'] ['u', 'i', 'u', 'i'] ['1', '2', '4', '4'] 
如坐针毡 ['r', 'z', 'zh', 'zh'] ['u', 'uo', 'en', 'an'] ['2', '4', '1', '1'] 
落叶归根 ['l', 'y', 'g', 'g'] ['uo', 'e', 'ui', 'en'] ['4', '4', '1', '1'] 
恩将仇报 [None, 'j', 'ch', 'b'] ['en', 'iang', 'ou', 'ao'] ['1', '1', '2', '4'] 
不辞而别 ['b', 'c', None, 'b'] ['u', 'i', 'er', 'ie'] ['4', '2', '2', '2'] 
顶天立地 ['d', 't', 'l', 'd'] ['ing', 'ian', 'i', 'i'] ['3', '1', '4', '4'] 
谈虎色变 ['t', 'h', 's', 'b'] ['an', 'u', 'e', 'ian'] ['2', '3', '4', '4'] 
浪子回头 ['l', 'z', 'h', 't'] ['ang', 'i', 'ui', 'ou'] ['4', '3', '2', '2'] 
异曲同工 ['y', 'q', 't', 'g'] ['i', 'v', 'ong', 'ong'] ['4', '3', '2', '1']
羽化登仙 ['y', 'h', 'd', 'x'] ['v', 'ua', 'eng', 'ian'] ['3', '4', '1', '1']
细水长流 ['x', 'sh', 'ch', 'l'] ['i', 'ui', 'ang', 'iu'] ['4', '3', '2', '2'] 
屡试不爽 ['l', 'sh', 'b', 'sh'] ['v', 'i', 'u', 'uang'] ['3', '4', '4', '3'] 
改过自新 ['g', 'g', 'z', 'x'] ['ai', 'uo', 'i', 'in'] ['3', '4', '4', '1'] 
挺身而出 ['t', 'sh', None, 'ch'] ['ing', 'en', 'er', 'u'] ['3', '1', '2', '1'] 
雄心壮志 ['x', 'x', 'zh', 'zh'] ['iong', 'in', 'uang', 'i'] ['2', '1', '4', '4'] 
十有八九 ['sh', 'y', 'b', 'j'] ['i', 'ou', 'a', 'iu'] ['2', '3', '1', '3'] 
与时俱进 ['y', 'sh', 'j', 'j'] ['v', 'i', 'v', 'in'] ['3', '2', '4', '4']
举世闻名 ['j', 'sh', 'w', 'm'] ['v', 'i', 'en', 'ing'] ['3', '4', '2', '2']
游手好闲 ['y', 'sh', 'h', 'x'] ['ou', 'ou', 'ao', 'ian'] ['2', '3', '4', '2'] 
意广才疏 ['y', 'g', 'c', 'sh'] ['i', 'uang', 'ai', 'u'] ['4', '3', '2', '1'] 
不求甚解 ['b', 'q', 'sh', 'j'] ['u', 'iu', 'en', 'ie'] ['4', '2', '4', '3'] 
莺歌燕舞 ['y', 'g', 'y', 'w'] ['ing', 'e', 'an', 'u'] ['1', '1', '4', '3'] 
万事如意 ['w', 'sh', 'r', 'y'] ['an', 'i', 'u', 'i'] ['4', '4', '2', '4'] 
心灰意冷 ['x', 'h', 'y', 'l'] ['in', 'ui', 'i', 'eng'] ['1', '1', '4', '3'] 
尊师重道 ['z', 'sh', 'zh', 'd'] ['un', 'i', 'ong', 'ao'] ['1', '1', '4', '4'] 
不由自主 ['b', 'y', 'z', 'zh'] ['u', 'ou', 'i', 'u'] ['4', '2', '4', '3'] 
隔墙有耳 ['g', 'q', 'y', None] ['e', 'iang', 'ou', 'er'] ['2', '2', '3', '3'] 
闻所未闻 ['w', 's', 'w', 'w'] ['en', 'uo', 'ei', 'en'] ['2', '3', '4', '2'] 
财运亨通 ['c', 'y', 'h', 't'] ['ai', 'vn', 'eng', 'ong'] ['2', '4', '1', '1']
胡思乱想 ['h', 's', 'l', 'x'] ['u', 'i', 'uan', 'iang'] ['2', '1', '4', '3'] 
神乎其技 ['sh', 'h', 'q', 'j'] ['en', 'u', 'i', 'i'] ['2', '1', '2', '4'] 
金榜题名 ['j', 'b', 't', 'm'] ['in', 'ang', 'i', 'ing'] ['1', '3', '2', '2'] 
将心比心 ['j', 'x', 'b', 'x'] ['iang', 'in', 'i', 'in'] ['1', '1', '3', '1'] 
子虚乌有 ['z', 'x', 'w', 'y'] ['i', 'v', 'u', 'ou'] ['3', '1', '1', '3']
不堪回首 ['b', 'k', 'h', 'sh'] ['u', 'an', 'ui', 'ou'] ['4', '1', '2', '3'] 
重蹈覆辙 ['ch', 'd', 'f', 'zh'] ['ong', 'ao', 'u', 'e'] ['2', '3', '4', '2'] 
一本正经 ['y', 'b', 'zh', 'j'] ['i', 'en', 'eng', 'ing'] ['1', '3', '4', '1'] 
尽力而为 ['j', 'l', None, 'w'] ['in', 'i', 'er', 'ei'] ['4', '4', '2', '2'] 
祸起萧墙 ['h', 'q', 'x', 'q'] ['uo', 'i', 'iao', 'iang'] ['4', '3', '1', '2'] 
和颜悦色 ['h', 'y', 'y', 's'] ['e', 'an', 've', 'e'] ['2', '2', '4', '4']
伤天害理 ['sh', 't', 'h', 'l'] ['ang', 'ian', 'ai', 'i'] ['1', '1', '4', '3'] 
情窦初开 ['q', 'd', 'ch', 'k'] ['ing', 'ou', 'u', 'ai'] ['2', '4', '1', '1'] 
鸡飞狗跳 ['j', 'f', 'g', 't'] ['i', 'ei', 'ou', 'iao'] ['1', '1', '3', '4'] 
有备无患 ['y', 'b', 'w', 'h'] ['ou', 'ei', 'u', 'uan'] ['3', '4', '2', '4'] 
巧言令色 ['q', 'y', 'l', 's'] ['iao', 'an', 'ing', 'e'] ['3', '2', '4', '4'] 
心花怒放 ['x', 'h', 'n', 'f'] ['in', 'ua', 'u', 'ang'] ['1', '1', '4', '4'] 
衣冠禽兽 ['y', 'g', 'q', 'sh'] ['i', 'uan', 'in', 'ou'] ['1', '1', '2', '4'] 
破烂不堪 ['p', 'l', 'b', 'k'] ['o', 'an', 'u', 'an'] ['4', '4', '4', '1'] 
坐享其成 ['z', 'x', 'q', 'ch'] ['uo', 'iang', 'i', 'eng'] ['4', '3', '2', '2'] 
金石为开 ['j', 'sh', 'w', 'k'] ['in', 'i', 'ei', 'ai'] ['1', '2', '4', '1'] 
答非所问 ['d', 'f', 's', 'w'] ['a', 'ei', 'uo', 'en'] ['2', '1', '3', '4'] 
夜半三更 ['y', 'b', 's', 'g'] ['e', 'an', 'an', 'eng'] ['4', '4', '1', '1'] 
暮鼓晨钟 ['m', 'g', 'ch', 'zh'] ['u', 'u', 'en', 'ong'] ['4', '3', '2', '1'] 
大浪淘沙 ['d', 'l', 't', 'sh'] ['a', 'ang', 'ao', 'a'] ['4', '4', '2', '1'] 
因时制宜 ['y', 'sh', 'zh', 'y'] ['in', 'i', 'i', 'i'] ['1', '2', '4', '2'] 
富甲一方 ['f', 'j', 'y', 'f'] ['u', 'ia', 'i', 'ang'] ['4', '3', '1', '1'] 
唯命是从 ['w', 'm', 'sh', 'c'] ['ei', 'ing', 'i', 'ong'] ['2', '4', '4', '2'] 
根深蒂固 ['g', 'sh', 'd', 'g'] ['en', 'en', 'i', 'u'] ['1', '1', '4', '4'] 
死而后已 ['s', None, 'h', 'y'] ['i', 'er', 'ou', 'i'] ['3', '2', '4', '3'] 
逢场作戏 ['f', 'ch', 'z', 'x'] ['eng', 'ang', 'uo', 'i'] ['2', '3', '4', '4'] 
花开富贵 ['h', 'k', 'f', 'g'] ['ua', 'ai', 'u', 'ui'] ['1', '1', '4', '4'] 
浅尝辄止 ['q', 'ch', 'zh', 'zh'] ['ian', 'ang', 'e', 'i'] ['3', '2', '2', '3'] 
火烧眉毛 ['h', 'sh', 'm', 'm'] ['uo', 'ao', 'ei', 'ao'] ['3', '1', '2', '2'] 
信手拈来 ['x', 'sh', 'n', 'l'] ['in', 'ou', 'ian', 'ai'] ['4', '3', '1', '2'] 
四大皆空 ['s', 'd', 'j', 'k'] ['i', 'a', 'ie', 'ong'] ['4', '4', '1', '1'] 
春风满面 ['ch', 'f', 'm', 'm'] ['un', 'eng', 'an', 'ian'] ['1', '1', '3', '4'] 
守株待兔 ['sh', 'zh', 'd', 't'] ['ou', 'u', 'ai', 'u'] ['3', '1', '4', '4'] 
凤毛麟角 ['f', 'm', 'l', 'j'] ['eng', 'ao', 'in', 'iao'] ['4', '2', '2', '3'] 
云淡风轻 ['y', 'd', 'f', 'q'] ['vn', 'an', 'eng', 'ing'] ['2', '4', '1', '1']
安然无恙 [None, 'r', 'w', 'y'] ['an', 'an', 'u', 'ang'] ['1', '2', '2', '4'] 
出人头地 ['ch', 'r', 't', 'd'] ['u', 'en', 'ou', 'i'] ['1', '2', '2', '4'] 
前仆后继 ['q', 'p', 'h', 'j'] ['ian', 'u', 'ou', 'i'] ['2', '1', '4', '4'] 
别具匠心 ['b', 'j', 'j', 'x'] ['ie', 'v', 'iang', 'in'] ['2', '4', '4', '1']
一决雌雄 ['y', 'j', 'c', 'x'] ['i', 've', 'i', 'iong'] ['1', '2', '2', '2']
触类旁通 ['ch', 'l', 'p', 't'] ['u', 'ei', 'ang', 'ong'] ['4', '4', '2', '1'] 
骄奢淫逸 ['j', 'sh', 'y', 'y'] ['iao', 'e', 'in', 'i'] ['1', '1', '2', '4'] 
呼朋唤友 ['h', 'p', 'h', 'y'] ['u', 'eng', 'uan', 'ou'] ['1', '2', '4', '3'] 
无济于事 ['w', 'j', 'y', 'sh'] ['u', 'i', 'v', 'i'] ['2', '4', '2', '4']
举世无双 ['j', 'sh', 'w', 'sh'] ['v', 'i', 'u', 'uang'] ['3', '4', '2', '1']
拭目以待 ['sh', 'm', 'y', 'd'] ['i', 'u', 'i', 'ai'] ['4', '4', '3', '4'] 
稀里糊涂 ['x', 'l', 'h', 't'] ['i', 'i', 'u', 'u'] ['1', '3', '2', '2'] 
保家卫国 ['b', 'j', 'w', 'g'] ['ao', 'ia', 'ei', 'uo'] ['3', '1', '4', '2'] 
青红皂白 ['q', 'h', 'z', 'b'] ['ing', 'ong', 'ao', 'ai'] ['1', '2', '4', '2'] 
地久天长 ['d', 'j', 't', 'ch'] ['i', 'iu', 'ian', 'ang'] ['4', '3', '1', '2'] 
骑虎难下 ['q', 'h', 'n', 'x'] ['i', 'u', 'an', 'ia'] ['2', '3', '2', '4'] 
物竞天择 ['w', 'j', 't', 'z'] ['u', 'ing', 'ian', 'e'] ['4', '4', '1', '2'] 
刻不容缓 ['k', 'b', 'r', 'h'] ['e', 'u', 'ong', 'uan'] ['4', '4', '2', '3'] 
闭月羞花 ['b', 'y', 'x', 'h'] ['i', 've', 'iu', 'ua'] ['4', '4', '1', '1']
人面兽心 ['r', 'm', 'sh', 'x'] ['en', 'ian', 'ou', 'in'] ['2', '4', '4', '1'] 
感人肺腑 ['g', 'r', 'f', 'f'] ['an', 'en', 'ei', 'u'] ['3', '2', '4', '3'] 
求之不得 ['q', 'zh', 'b', 'd'] ['iu', 'i', 'u', 'e'] ['2', '1', '4', '2'] 
左顾右盼 ['z', 'g', 'y', 'p'] ['uo', 'u', 'ou', 'an'] ['3', '4', '4', '4'] 
峰回路转 ['f', 'h', 'l', 'zh'] ['eng', 'ui', 'u', 'uan'] ['1', '2', '4', '3'] 
手足无措 ['sh', 'z', 'w', 'c'] ['ou', 'u', 'u', 'uo'] ['3', '2', '2', '4'] 
抽丝剥茧 ['ch', 's', 'b', 'j'] ['ou', 'i', 'ao', 'ian'] ['1', '1', '1', '3'] 
功成名就 ['g', 'ch', 'm', 'j'] ['ong', 'eng', 'ing', 'iu'] ['1', '2', '2', '4'] 
大义凛然 ['d', 'y', 'l', 'r'] ['a', 'i', 'in', 'an'] ['4', '4', '3', '2'] 
陈词滥调 ['ch', 'c', 'l', 'd'] ['en', 'i', 'an', 'iao'] ['2', '2', '4', '4'] 
舍本逐末 ['sh', 'b', 'zh', 'm'] ['e', 'en', 'u', 'o'] ['3', '3', '2', '4'] 
妙笔生花 ['m', 'b', 'sh', 'h'] ['iao', 'i', 'eng', 'ua'] ['4', '3', '1', '1'] 
乌合之众 ['w', 'h', 'zh', 'zh'] ['u', 'e', 'i', 'ong'] ['1', '2', '1', '4'] 
吃里爬外 ['ch', 'l', 'p', 'w'] ['i', 'i', 'a', 'ai'] ['1', '3', '2', '4'] 
如雷贯耳 ['r', 'l', 'g', None] ['u', 'ei', 'uan', 'er'] ['2', '2', '4', '3'] 
昏天黑地 ['h', 't', 'h', 'd'] ['un', 'ian', 'ei', 'i'] ['1', '1', '1', '4'] 
疑神疑鬼 ['y', 'sh', 'y', 'g'] ['i', 'en', 'i', 'ui'] ['2', '2', '2', '3'] 
感同身受 ['g', 't', 'sh', 'sh'] ['an', 'ong', 'en', 'ou'] ['3', '2', '1', '4'] 
四分五裂 ['s', 'f', 'w', 'l'] ['i', 'en', 'u', 'ie'] ['4', '1', '3', '4'] 
不同凡响 ['b', 't', 'f', 'x'] ['u', 'ong', 'an', 'iang'] ['4', '2', '2', '3'] 
心有灵犀 ['x', 'y', 'l', 'x'] ['in', 'ou', 'ing', 'i'] ['1', '3', '2', '1'] 
书香世家 ['sh', 'x', 'sh', 'j'] ['u', 'iang', 'i', 'ia'] ['1', '1', '4', '1'] 
如愿以偿 ['r', 'y', 'y', 'ch'] ['u', 'van', 'i', 'ang'] ['2', '4', '3', '2']
曲水流觞 ['q', 'sh', 'l', 'sh'] ['v', 'ui', 'iu', 'ang'] ['1', '3', '2', '1']
脱口而出 ['t', 'k', None, 'ch'] ['uo', 'ou', 'er', 'u'] ['1', '3', '2', '1'] 
海纳百川 ['h', 'n', 'b', 'ch'] ['ai', 'a', 'ai', 'uan'] ['3', '4', '3', '1'] 
众矢之的 ['zh', 'sh', 'zh', 'd'] ['ong', 'i', 'i', 'i'] ['4', '3', '1', '4'] 
道貌岸然 ['d', 'm', None, 'r'] ['ao', 'ao', 'an', 'an'] ['4', '4', '4', '2'] 
郁郁寡欢 ['y', 'y', 'g', 'h'] ['v', 'v', 'ua', 'uan'] ['4', '4', '3', '1']
呆若木鸡 ['d', 'r', 'm', 'j'] ['ai', 'uo', 'u', 'i'] ['1', '4', '4', '1'] 
装疯卖傻 ['zh', 'f', 'm', 'sh'] ['uang', 'eng', 'ai', 'a'] ['1', '1', '4', '3'] 
山高水长 ['sh', 'g', 'sh', 'ch'] ['an', 'ao', 'ui', 'ang'] ['1', '1', '3', '2'] 
后羿射日 ['h', 'y', 'sh', 'r'] ['ou', 'i', 'e', 'i'] ['4', '4', '4', '4'] 
旁门左道 ['p', 'm', 'z', 'd'] ['ang', 'en', 'uo', 'ao'] ['2', '2', '3', '4'] 
入不敷出 ['r', 'b', 'f', 'ch'] ['u', 'u', 'u', 'u'] ['4', '4', '1', '1'] 
茕茕孑立 ['q', 'q', 'j', 'l'] ['iong', 'iong', 'ie', 'i'] ['2', '2', '2', '4'] 
邯郸学步 ['h', 'd', 'x', 'b'] ['an', 'an', 've', 'u'] ['2', '1', '2', '4']
九霄云外 ['j', 'x', 'y', 'w'] ['iu', 'iao', 'vn', 'ai'] ['3', '1', '2', '4']
绝世佳人 ['j', 'sh', 'j', 'r'] ['ve', 'i', 'ia', 'en'] ['2', '4', '1', '2']
耳目一新 [None, 'm', 'y', 'x'] ['er', 'u', 'i', 'in'] ['3', '4', '1', '1'] 
垂头丧气 ['ch', 't', 's', 'q'] ['ui', 'ou', 'ang', 'i'] ['2', '2', '4', '4'] 
胆大包天 ['d', 'd', 'b', 't'] ['an', 'a', 'ao', 'ian'] ['3', '4', '1', '1'] 
以己度人 ['y', 'j', 'd', 'r'] ['i', 'i', 'uo', 'en'] ['3', '3', '2', '2'] 
视若无睹 ['sh', 'r', 'w', 'd'] ['i', 'uo', 'u', 'u'] ['4', '4', '2', '3'] 
投其所好 ['t', 'q', 's', 'h'] ['ou', 'i', 'uo', 'ao'] ['2', '2', '3', '4'] 
循序渐进 ['x', 'x', 'j', 'j'] ['vn', 'v', 'ian', 'in'] ['2', '4', '4', '4']
晴天霹雳 ['q', 't', 'p', 'l'] ['ing', 'ian', 'i', 'i'] ['2', '1', '1', '4'] 
地广人稀 ['d', 'g', 'r', 'x'] ['i', 'uang', 'en', 'i'] ['4', '3', '2', '1'] 
吹毛求疵 ['ch', 'm', 'q', 'c'] ['ui', 'ao', 'iu', 'i'] ['1', '2', '2', '1'] 
勉为其难 ['m', 'w', 'q', 'n'] ['ian', 'ei', 'i', 'an'] ['3', '2', '2', '2'] 
滚瓜烂熟 ['g', 'g', 'l', 'sh'] ['un', 'ua', 'an', 'u'] ['3', '1', '4', '2'] 
不可理喻 ['b', 'k', 'l', 'y'] ['u', 'e', 'i', 'v'] ['4', '3', '3', '4']
坐立不安 ['z', 'l', 'b', None] ['uo', 'i', 'u', 'an'] ['4', '4', '4', '1'] 
金盆洗手 ['j', 'p', 'x', 'sh'] ['in', 'en', 'i', 'ou'] ['1', '2', '3', '3'] 
万代千秋 ['w', 'd', 'q', 'q'] ['an', 'ai', 'ian', 'iu'] ['4', '4', '1', '1'] 
引经据典 ['y', 'j', 'j', 'd'] ['in', 'ing', 'v', 'ian'] ['3', '1', '4', '3']
独有千秋 ['d', 'y', 'q', 'q'] ['u', 'ou', 'ian', 'iu'] ['2', '4', '1', '1'] 
久别重逢 ['j', 'b', 'ch', 'f'] ['iu', 'ie', 'ong', 'eng'] ['3', '2', '2', '2'] 
先入为主 ['x', 'r', 'w', 'zh'] ['ian', 'u', 'ei', 'u'] ['1', '4', '2', '3'] 
空中楼阁 ['k', 'zh', 'l', 'g'] ['ong', 'ong', 'ou', 'e'] ['1', '1', '2', '2'] 
无声无息 ['w', 'sh', 'w', 'x'] ['u', 'eng', 'u', 'i'] ['2', '1', '2', '1'] 
惟妙惟肖 ['w', 'm', 'w', 'x'] ['ei', 'iao', 'ei', 'iao'] ['2', '4', '2', '4'] 
英姿飒爽 ['y', 'z', 's', 'sh'] ['ing', 'i', 'a', 'uang'] ['1', '1', '4', '3'] 
举棋不定 ['j', 'q', 'b', 'd'] ['v', 'i', 'u', 'ing'] ['3', '2', '4', '4']
江河日下 ['j', 'h', 'r', 'x'] ['iang', 'e', 'i', 'ia'] ['1', '2', '4', '4'] 
建功立业 ['j', 'g', 'l', 'y'] ['ian', 'ong', 'i', 'e'] ['4', '1', '4', '4'] 
吃喝玩乐 ['ch', 'h', 'w', 'l'] ['i', 'e', 'an', 'e'] ['1', '1', '2', '4'] 
无所事事 ['w', 's', 'sh', 'sh'] ['u', 'uo', 'i', 'i'] ['2', '3', '4', '4'] 
悲天悯人 ['b', 't', 'm', 'r'] ['ei', 'ian', 'in', 'en'] ['1', '1', '3', '2'] 
捕风捉影 ['b', 'f', 'zh', 'y'] ['u', 'eng', 'uo', 'ing'] ['3', '1', '1', '3'] 
良药苦口 ['l', 'y', 'k', 'k'] ['iang', 'ao', 'u', 'ou'] ['2', '4', '3', '3'] 
误人子弟 ['w', 'r', 'z', 'd'] ['u', 'en', 'i', 'i'] ['4', '2', '3', '4'] 
破镜重圆 ['p', 'j', 'ch', 'y'] ['o', 'ing', 'ong', 'van'] ['4', '4', '2', '2']
独一无二 ['d', 'y', 'w', None] ['u', 'i', 'u', 'er'] ['2', '1', '2', '4'] 
金玉良缘 ['j', 'y', 'l', 'y'] ['in', 'v', 'iang', 'van'] ['1', '4', '2', '2']
老态龙钟 ['l', 't', 'l', 'zh'] ['ao', 'ai', 'ong', 'ong'] ['3', '4', '2', '1'] 
正大光明 ['zh', 'd', 'g', 'm'] ['eng', 'a', 'uang', 'ing'] ['4', '4', '1', '2'] 
起早贪黑 ['q', 'z', 't', 'h'] ['i', 'ao', 'an', 'ei'] ['3', '3', '1', '1'] 
笑里藏刀 ['x', 'l', 'c', 'd'] ['iao', 'i', 'ang', 'ao'] ['4', '3', '2', '1'] 
浑水摸鱼 ['h', 'sh', 'm', 'y'] ['un', 'ui', 'o', 'v'] ['2', '3', '2', '2']
微不足道 ['w', 'b', 'z', 'd'] ['ei', 'u', 'u', 'ao'] ['1', '4', '2', '4'] 
永无止境 ['y', 'w', 'zh', 'j'] ['ong', 'u', 'i', 'ing'] ['3', '2', '3', '4'] 
机关算尽 ['j', 'g', 's', 'j'] ['i', 'uan', 'uan', 'in'] ['1', '1', '4', '4'] 
声情并茂 ['sh', 'q', 'b', 'm'] ['eng', 'ing', 'ing', 'ao'] ['1', '2', '4', '4'] 
淋漓尽致 ['l', 'l', 'j', 'zh'] ['in', 'i', 'in', 'i'] ['2', '2', '4', '4'] 
眼高手低 ['y', 'g', 'sh', 'd'] ['an', 'ao', 'ou', 'i'] ['3', '1', '3', '1'] 
千里迢迢 ['q', 'l', 't', 't'] ['ian', 'i', 'iao', 'iao'] ['1', '3', '2', '2'] 
黯然失色 [None, 'r', 'sh', 's'] ['an', 'an', 'i', 'e'] ['4', '2', '1', '4'] 
言行不一 ['y', 'x', 'b', 'y'] ['an', 'ing', 'u', 'i'] ['2', '2', '4', '1'] 
双喜临门 ['sh', 'x', 'l', 'm'] ['uang', 'i', 'in', 'en'] ['1', '3', '2', '2'] 
滔滔不绝 ['t', 't', 'b', 'j'] ['ao', 'ao', 'u', 've'] ['1', '1', '4', '2']
